"recall";"precision";"specificity";"F1";"F2"
"0.4000000000";"0.1764705882";"0.7281553398";"0.2448979592";"0.2448979592"
"0.5333333333";"0.2162162162";"0.7184466019";"0.3076923077";"0.3076923077"
"0.3333333333";"0.1724137931";"0.7669902913";"0.2272727273";"0.2272727273"
"0.4666666667";"0.1750000000";"0.6796116505";"0.2545454545";"0.2545454545"
"0.5333333333";"0.2500000000";"0.7669902913";"0.3404255319";"0.3404255319"
"0.4000000000";"0.1621621622";"0.6990291262";"0.2307692308";"0.2307692308"
"0.4666666667";"0.1891891892";"0.7087378641";"0.2692307692";"0.2692307692"
"0.3333333333";"0.2173913043";"0.8252427184";"0.2631578947";"0.2631578947"
"0.4000000000";"0.1714285714";"0.7184466019";"0.2400000000";"0.2400000000"
"0.6000000000";"0.2571428571";"0.7475728155";"0.3600000000";"0.3600000000"
"0.4000000000";"0.1935483871";"0.7572815534";"0.2608695652";"0.2608695652"
"0.4000000000";"0.2068965517";"0.7766990291";"0.2727272727";"0.2727272727"
"0.3333333333";"0.1428571429";"0.7087378641";"0.2000000000";"0.2000000000"
"0.3333333333";"0.2083333333";"0.8155339806";"0.2564102564";"0.2564102564"
"0.5333333333";"0.2352941176";"0.7475728155";"0.3265306122";"0.3265306122"
"0.6000000000";"0.2368421053";"0.7184466019";"0.3396226415";"0.3396226415"
"0.4000000000";"0.1935483871";"0.7572815534";"0.2608695652";"0.2608695652"
"0.6666666667";"0.2272727273";"0.6699029126";"0.3389830508";"0.3389830508"
"0.3333333333";"0.1250000000";"0.6601941748";"0.1818181818";"0.1818181818"
"0.4000000000";"0.1500000000";"0.6699029126";"0.2181818182";"0.2181818182"
