"recall";"precision";"specificity";"F1";"F2"
"0.6521739130";"0.4285714286";"0.9236641221";"0.5172413793";"0.5172413793"
"0.6956521739";"0.4102564103";"0.9122137405";"0.5161290323";"0.5161290323"
"0.7391304348";"0.4047619048";"0.9045801527";"0.5230769231";"0.5230769231"
"0.9130434783";"0.4468085106";"0.9007633588";"0.6000000000";"0.6000000000"
"0.6086956522";"0.3684210526";"0.9083969466";"0.4590163934";"0.4590163934"
"0.7826086957";"0.3461538462";"0.8702290076";"0.4800000000";"0.4800000000"
"0.7391304348";"0.4358974359";"0.9160305344";"0.5483870968";"0.5483870968"
"0.7391304348";"0.4857142857";"0.9312977099";"0.5862068966";"0.5862068966"
"0.6521739130";"0.5357142857";"0.9503816794";"0.5882352941";"0.5882352941"
"0.8260869565";"0.4042553191";"0.8931297710";"0.5428571429";"0.5428571429"
"0.9130434783";"0.5000000000";"0.9198473282";"0.6461538462";"0.6461538462"
"0.8695652174";"0.4651162791";"0.9122137405";"0.6060606061";"0.6060606061"
"0.6956521739";"0.4102564103";"0.9122137405";"0.5161290323";"0.5161290323"
"0.7391304348";"0.3777777778";"0.8931297710";"0.5000000000";"0.5000000000"
"0.7391304348";"0.4047619048";"0.9045801527";"0.5230769231";"0.5230769231"
"0.7826086957";"0.4285714286";"0.9083969466";"0.5538461538";"0.5538461538"
"0.7391304348";"0.4047619048";"0.9045801527";"0.5230769231";"0.5230769231"
"0.7391304348";"0.4473684211";"0.9198473282";"0.5573770492";"0.5573770492"
"0.5217391304";"0.3636363636";"0.9198473282";"0.4285714286";"0.4285714286"
"0.6086956522";"0.3783783784";"0.9122137405";"0.4666666667";"0.4666666667"
