"recall";"precision";"specificity";"F1";"F2"
"0.6764705882";"0.4181818182";"0.8857142857";"0.5168539326";"0.5168539326"
"0.7647058824";"0.4126984127";"0.8678571429";"0.5360824742";"0.5360824742"
"0.7941176471";"0.3802816901";"0.8428571429";"0.5142857143";"0.5142857143"
"0.8823529412";"0.4411764706";"0.8642857143";"0.5882352941";"0.5882352941"
"0.6176470588";"0.4468085106";"0.9071428571";"0.5185185185";"0.5185185185"
"0.7352941176";"0.4385964912";"0.8857142857";"0.5494505495";"0.5494505495"
"0.7058823529";"0.3428571429";"0.8357142857";"0.4615384615";"0.4615384615"
"0.7647058824";"0.4062500000";"0.8642857143";"0.5306122449";"0.5306122449"
"0.8823529412";"0.4054054054";"0.8428571429";"0.5555555556";"0.5555555556"
"0.6470588235";"0.4230769231";"0.8928571429";"0.5116279070";"0.5116279070"
"0.6176470588";"0.3043478261";"0.8285714286";"0.4077669903";"0.4077669903"
"0.8529411765";"0.4531250000";"0.8750000000";"0.5918367347";"0.5918367347"
"0.7058823529";"0.4067796610";"0.8750000000";"0.5161290323";"0.5161290323"
"0.7941176471";"0.4576271186";"0.8857142857";"0.5806451613";"0.5806451613"
"0.7647058824";"0.4000000000";"0.8607142857";"0.5252525253";"0.5252525253"
"0.7352941176";"0.4716981132";"0.9000000000";"0.5747126437";"0.5747126437"
"0.7352941176";"0.3472222222";"0.8321428571";"0.4716981132";"0.4716981132"
"0.7941176471";"0.3857142857";"0.8464285714";"0.5192307692";"0.5192307692"
"0.7352941176";"0.4385964912";"0.8857142857";"0.5494505495";"0.5494505495"
"0.6176470588";"0.4375000000";"0.9035714286";"0.5121951220";"0.5121951220"
