"recall";"precision";"specificity";"F1";"F2"
"0.3125000000";"0.3125000000";"0.9854304636";"0.3125000000";"0.3125000000"
"0.2708333333";"0.2708333333";"0.9845474614";"0.2708333333";"0.2708333333"
"0.2916666667";"0.3414634146";"0.9880794702";"0.3146067416";"0.3146067416"
"0.2500000000";"0.3243243243";"0.9889624724";"0.2823529412";"0.2823529412"
"0.2500000000";"0.3750000000";"0.9911699779";"0.3000000000";"0.3000000000"
"0.2500000000";"0.2448979592";"0.9836644592";"0.2474226804";"0.2474226804"
"0.3541666667";"0.3953488372";"0.9885209713";"0.3736263736";"0.3736263736"
"0.2916666667";"0.3414634146";"0.9880794702";"0.3146067416";"0.3146067416"
"0.3125000000";"0.3750000000";"0.9889624724";"0.3409090909";"0.3409090909"
"0.2708333333";"0.3250000000";"0.9880794702";"0.2954545455";"0.2954545455"
"0.2083333333";"0.3703703704";"0.9924944812";"0.2666666667";"0.2666666667"
"0.1666666667";"0.2222222222";"0.9876379691";"0.1904761905";"0.1904761905"
"0.3541666667";"0.3953488372";"0.9885209713";"0.3736263736";"0.3736263736"
"0.2083333333";"0.3125000000";"0.9902869757";"0.2500000000";"0.2500000000"
"0.3333333333";"0.3902439024";"0.9889624724";"0.3595505618";"0.3595505618"
"0.2291666667";"0.2894736842";"0.9880794702";"0.2558139535";"0.2558139535"
"0.2708333333";"0.3095238095";"0.9871964680";"0.2888888889";"0.2888888889"
"0.1875000000";"0.3000000000";"0.9907284768";"0.2307692308";"0.2307692308"
"0.3125000000";"0.3658536585";"0.9885209713";"0.3370786517";"0.3370786517"
"0.1875000000";"0.2500000000";"0.9880794702";"0.2142857143";"0.2142857143"
