"recall";"precision";"specificity";"F1";"F2"
"0.2400000000";"0.3157894737";"0.9244186047";"0.2727272727";"0.2727272727"
"0.1600000000";"0.1904761905";"0.9011627907";"0.1739130435";"0.1739130435"
"0.2200000000";"0.2391304348";"0.8982558140";"0.2291666667";"0.2291666667"
"0.2400000000";"0.2553191489";"0.8982558140";"0.2474226804";"0.2474226804"
"0.2200000000";"0.2037037037";"0.8750000000";"0.2115384615";"0.2115384615"
"0.2000000000";"0.2702702703";"0.9215116279";"0.2298850575";"0.2298850575"
"0.1600000000";"0.1904761905";"0.9011627907";"0.1739130435";"0.1739130435"
"0.2000000000";"0.2439024390";"0.9098837209";"0.2197802198";"0.2197802198"
"0.1200000000";"0.1666666667";"0.9127906977";"0.1395348837";"0.1395348837"
"0.1800000000";"0.2195121951";"0.9069767442";"0.1978021978";"0.1978021978"
"0.1400000000";"0.1794871795";"0.9069767442";"0.1573033708";"0.1573033708"
"0.2200000000";"0.2820512821";"0.9186046512";"0.2471910112";"0.2471910112"
"0.2000000000";"0.2272727273";"0.9011627907";"0.2127659574";"0.2127659574"
"0.2400000000";"0.2448979592";"0.8924418605";"0.2424242424";"0.2424242424"
"0.1600000000";"0.1632653061";"0.8808139535";"0.1616161616";"0.1616161616"
"0.1600000000";"0.2222222222";"0.9186046512";"0.1860465116";"0.1860465116"
"0.2400000000";"0.3076923077";"0.9215116279";"0.2696629213";"0.2696629213"
"0.2000000000";"0.2564102564";"0.9156976744";"0.2247191011";"0.2247191011"
"0.2400000000";"0.2553191489";"0.8982558140";"0.2474226804";"0.2474226804"
"0.2400000000";"0.2352941176";"0.8866279070";"0.2376237624";"0.2376237624"
