"recall";"precision";"specificity";"F1";"F2"
"0.2428571429";"0.2857142857";"0.9521665729";"0.2625482625";"0.2625482625"
"0.2071428571";"0.2589285714";"0.9532920653";"0.2301587302";"0.2301587302"
"0.3285714286";"0.3484848485";"0.9516038267";"0.3382352941";"0.3382352941"
"0.2857142857";"0.3030303030";"0.9482273495";"0.2941176471";"0.2941176471"
"0.3071428571";"0.3257575758";"0.9499155881";"0.3161764706";"0.3161764706"
"0.2571428571";"0.2880000000";"0.9499155881";"0.2716981132";"0.2716981132"
"0.3285714286";"0.3285714286";"0.9471018571";"0.3285714286";"0.3285714286"
"0.3071428571";"0.3333333333";"0.9516038267";"0.3197026022";"0.3197026022"
"0.2285714286";"0.2689075630";"0.9510410805";"0.2471042471";"0.2471042471"
"0.2642857143";"0.3394495413";"0.9594822735";"0.2971887550";"0.2971887550"
"0.3000000000";"0.3589743590";"0.9577940349";"0.3268482490";"0.3268482490"
"0.2571428571";"0.2769230769";"0.9471018571";"0.2666666667";"0.2666666667"
"0.2642857143";"0.3162393162";"0.9549803039";"0.2879377432";"0.2879377432"
"0.3142857143";"0.3437500000";"0.9527293191";"0.3283582090";"0.3283582090"
"0.3071428571";"0.3257575758";"0.9499155881";"0.3161764706";"0.3161764706"
"0.2428571429";"0.3063063063";"0.9566685425";"0.2709163347";"0.2709163347"
"0.3142857143";"0.3437500000";"0.9527293191";"0.3283582090";"0.3283582090"
"0.2857142857";"0.3053435115";"0.9487900957";"0.2952029520";"0.2952029520"
"0.2642857143";"0.3425925926";"0.9600450197";"0.2983870968";"0.2983870968"
"0.3000000000";"0.3500000000";"0.9561057963";"0.3230769231";"0.3230769231"
