"recall";"precision";"specificity";"F1";"F2"
"0.4246575342";"0.2167832168";"0.8007117438";"0.2870370370";"0.2870370370"
"0.4246575342";"0.2183098592";"0.8024911032";"0.2883720930";"0.2883720930"
"0.4246575342";"0.2230215827";"0.8078291815";"0.2924528302";"0.2924528302"
"0.4931506849";"0.2666666667";"0.8238434164";"0.3461538462";"0.3461538462"
"0.4657534247";"0.2281879195";"0.7953736655";"0.3063063063";"0.3063063063"
"0.3972602740";"0.2230769231";"0.8202846975";"0.2857142857";"0.2857142857"
"0.4657534247";"0.2575757576";"0.8256227758";"0.3317073171";"0.3317073171"
"0.4657534247";"0.2361111111";"0.8042704626";"0.3133640553";"0.3133640553"
"0.4246575342";"0.2313432836";"0.8167259786";"0.2995169082";"0.2995169082"
"0.4109589041";"0.2097902098";"0.7989323843";"0.2777777778";"0.2777777778"
"0.3972602740";"0.2013888889";"0.7953736655";"0.2672811060";"0.2672811060"
"0.4657534247";"0.2411347518";"0.8096085409";"0.3177570093";"0.3177570093"
"0.4520547945";"0.2200000000";"0.7918149466";"0.2959641256";"0.2959641256"
"0.4657534247";"0.2179487179";"0.7829181495";"0.2969432314";"0.2969432314"
"0.3561643836";"0.1925925926";"0.8060498221";"0.2500000000";"0.2500000000"
"0.3287671233";"0.1875000000";"0.8149466192";"0.2388059701";"0.2388059701"
"0.4109589041";"0.2112676056";"0.8007117438";"0.2790697674";"0.2790697674"
"0.3972602740";"0.2213740458";"0.8185053381";"0.2843137255";"0.2843137255"
"0.3972602740";"0.2320000000";"0.8291814947";"0.2929292929";"0.2929292929"
"0.4520547945";"0.2244897959";"0.7971530249";"0.3000000000";"0.3000000000"
