"recall";"precision";"specificity";"F1";"F2"
"0.5937500000";"0.2500000000";"0.6187290970";"0.3518518519";"0.3518518519"
"0.7187500000";"0.2911392405";"0.6254180602";"0.4144144144";"0.4144144144"
"0.6250000000";"0.2531645570";"0.6053511706";"0.3603603604";"0.3603603604"
"0.5625000000";"0.2608695652";"0.6588628763";"0.3564356436";"0.3564356436"
"0.6406250000";"0.2751677852";"0.6387959866";"0.3849765258";"0.3849765258"
"0.6250000000";"0.2684563758";"0.6354515050";"0.3755868545";"0.3755868545"
"0.5781250000";"0.2483221477";"0.6254180602";"0.3474178404";"0.3474178404"
"0.5781250000";"0.2534246575";"0.6354515050";"0.3523809524";"0.3523809524"
"0.5781250000";"0.2483221477";"0.6254180602";"0.3474178404";"0.3474178404"
"0.5312500000";"0.2297297297";"0.6187290970";"0.3207547170";"0.3207547170"
"0.5625000000";"0.2500000000";"0.6387959866";"0.3461538462";"0.3461538462"
"0.6406250000";"0.2789115646";"0.6454849498";"0.3886255924";"0.3886255924"
"0.6875000000";"0.2750000000";"0.6120401338";"0.3928571429";"0.3928571429"
"0.5937500000";"0.2451612903";"0.6086956522";"0.3470319635";"0.3470319635"
"0.5625000000";"0.2535211268";"0.6454849498";"0.3495145631";"0.3495145631"
"0.6562500000";"0.2514970060";"0.5819397993";"0.3636363636";"0.3636363636"
"0.6093750000";"0.2468354430";"0.6020066890";"0.3513513514";"0.3513513514"
"0.5468750000";"0.2364864865";"0.6220735786";"0.3301886792";"0.3301886792"
"0.5625000000";"0.2589928058";"0.6555183946";"0.3546798030";"0.3546798030"
"0.5468750000";"0.2397260274";"0.6287625418";"0.3333333333";"0.3333333333"
