"recall";"precision";"specificity";"F1";"F2"
"0.6071428571";"0.1827956989";"0.6972111554";"0.2809917355";"0.2809917355"
"0.5357142857";"0.1485148515";"0.6573705179";"0.2325581395";"0.2325581395"
"0.6428571429";"0.1800000000";"0.6733067729";"0.2812500000";"0.2812500000"
"0.4642857143";"0.1397849462";"0.6812749004";"0.2148760331";"0.2148760331"
"0.5714285714";"0.1553398058";"0.6533864542";"0.2442748092";"0.2442748092"
"0.5357142857";"0.1562500000";"0.6772908367";"0.2419354839";"0.2419354839"
"0.5714285714";"0.1632653061";"0.6733067729";"0.2539682540";"0.2539682540"
"0.5357142857";"0.1415094340";"0.6374501992";"0.2238805970";"0.2238805970"
"0.5000000000";"0.1428571429";"0.6653386454";"0.2222222222";"0.2222222222"
"0.5000000000";"0.1590909091";"0.7051792829";"0.2413793103";"0.2413793103"
"0.5000000000";"0.1458333333";"0.6733067729";"0.2258064516";"0.2258064516"
"0.5000000000";"0.1473684211";"0.6772908367";"0.2276422764";"0.2276422764"
"0.4642857143";"0.1300000000";"0.6533864542";"0.2031250000";"0.2031250000"
"0.6071428571";"0.1517857143";"0.6215139442";"0.2428571429";"0.2428571429"
"0.6785714286";"0.1727272727";"0.6374501992";"0.2753623188";"0.2753623188"
"0.6785714286";"0.1881188119";"0.6733067729";"0.2945736434";"0.2945736434"
"0.5000000000";"0.1505376344";"0.6852589641";"0.2314049587";"0.2314049587"
"0.5000000000";"0.1473684211";"0.6772908367";"0.2276422764";"0.2276422764"
"0.4285714286";"0.1304347826";"0.6812749004";"0.2000000000";"0.2000000000"
"0.5357142857";"0.1595744681";"0.6852589641";"0.2459016393";"0.2459016393"
