"recall";"precision";"specificity";"F1";"F2"
"0.5178571429";"0.3493975904";"0.8747099768";"0.4172661871";"0.4172661871"
"0.4464285714";"0.2976190476";"0.8631090487";"0.3571428571";"0.3571428571"
"0.4642857143";"0.3095238095";"0.8654292343";"0.3714285714";"0.3714285714"
"0.5178571429";"0.3085106383";"0.8491879350";"0.3866666667";"0.3866666667"
"0.4285714286";"0.2727272727";"0.8515081206";"0.3333333333";"0.3333333333"
"0.4642857143";"0.3170731707";"0.8700696056";"0.3768115942";"0.3768115942"
"0.4821428571";"0.3333333333";"0.8747099768";"0.3941605839";"0.3941605839"
"0.4107142857";"0.2527472527";"0.8422273782";"0.3129251701";"0.3129251701"
"0.5535714286";"0.3563218391";"0.8700696056";"0.4335664336";"0.4335664336"
"0.3928571429";"0.2588235294";"0.8538283063";"0.3120567376";"0.3120567376"
"0.4464285714";"0.3472222222";"0.8909512761";"0.3906250000";"0.3906250000"
"0.4821428571";"0.3103448276";"0.8607888631";"0.3776223776";"0.3776223776"
"0.4821428571";"0.2967032967";"0.8515081206";"0.3673469388";"0.3673469388"
"0.4821428571";"0.3103448276";"0.8607888631";"0.3776223776";"0.3776223776"
"0.4821428571";"0.3461538462";"0.8816705336";"0.4029850746";"0.4029850746"
"0.5178571429";"0.3493975904";"0.8747099768";"0.4172661871";"0.4172661871"
"0.5178571429";"0.3580246914";"0.8793503480";"0.4233576642";"0.4233576642"
"0.4285714286";"0.3478260870";"0.8955916473";"0.3840000000";"0.3840000000"
"0.4107142857";"0.2804878049";"0.8631090487";"0.3333333333";"0.3333333333"
"0.5535714286";"0.3483146067";"0.8654292343";"0.4275862069";"0.4275862069"
