"recall";"precision";"specificity";"F1";"F2"
"0.5633802817";"0.2985074627";"0.7861205916";"0.3902439024";"0.3902439024"
"0.5633802817";"0.3149606299";"0.8020477816";"0.4040404040";"0.4040404040"
"0.6267605634";"0.3384030418";"0.8020477816";"0.4395061728";"0.4395061728"
"0.5492957746";"0.3095238095";"0.8020477816";"0.3959390863";"0.3959390863"
"0.6056338028";"0.3161764706";"0.7883959044";"0.4154589372";"0.4154589372"
"0.5774647887";"0.3228346457";"0.8043230944";"0.4141414141";"0.4141414141"
"0.5774647887";"0.3117870722";"0.7940841866";"0.4049382716";"0.4049382716"
"0.5774647887";"0.3153846154";"0.7974971559";"0.4079601990";"0.4079601990"
"0.6197183099";"0.3223443223";"0.7895335609";"0.4240963855";"0.4240963855"
"0.6267605634";"0.3345864662";"0.7986348123";"0.4362745098";"0.4362745098"
"0.5633802817";"0.3100775194";"0.7974971559";"0.4000000000";"0.4000000000"
"0.5704225352";"0.3091603053";"0.7940841866";"0.4009900990";"0.4009900990"
"0.5774647887";"0.3293172691";"0.8100113766";"0.4194373402";"0.4194373402"
"0.6408450704";"0.3204225352";"0.7804323094";"0.4272300469";"0.4272300469"
"0.6267605634";"0.3212996390";"0.7861205916";"0.4248210024";"0.4248210024"
"0.5563380282";"0.3291666667";"0.8168373151";"0.4136125654";"0.4136125654"
"0.6338028169";"0.3191489362";"0.7815699659";"0.4245283019";"0.4245283019"
"0.5845070423";"0.3155893536";"0.7952218430";"0.4098765432";"0.4098765432"
"0.5281690141";"0.2988047809";"0.7997724687";"0.3816793893";"0.3816793893"
"0.6126760563";"0.3398437500";"0.8077360637";"0.4371859296";"0.4371859296"
