"model";"recall";"precision";"specificity";"F1";"F2"
"glm               ";"0.083969465648855 ";"0.6875            ";"0.96031746031746  ";"0.149659863945578 ";"0.149659863945578 "
"nnet              ";"0.0932203389830508";"0.6875            ";"0.964028776978417 ";"0.164179104477612 ";"0.164179104477612 "
"treebag           ";"0.0964912280701754";"0.6875            ";"0.965034965034965 ";"0.169230769230769 ";"0.169230769230769 "
"bagFDAGCV         ";"0.103448275862069 ";"0.375             ";"0.949748743718593 ";"0.162162162162162 ";"0.162162162162162 "
"bagFDA            ";"0.125             ";"0.4375            ";"0.955223880597015 ";"0.194444444444444 ";"0.194444444444444 "
"rf                ";"0.0980392156862745";"0.625             ";"0.961290322580645 ";"0.169491525423729 ";"0.169491525423729 "
"C5.0              ";"0.0769230769230769";"0.5               ";"0.947712418300654 ";"0.133333333333333 ";"0.133333333333333 "
