"model";"recall";"precision";"specificity";"F1";"F2"
"glm              ";"0.404371584699454";"0.69811320754717 ";"0.911602209944751";"0.512110726643599";"0.512110726643599"
"nnet             ";"0.366120218579235";"0.632075471698113";"0.892265193370166";"0.463667820069204";"0.463667820069204"
"treebag          ";"0.434285714285714";"0.716981132075472";"0.918918918918919";"0.540925266903915";"0.540925266903915"
"bagFDAGCV        ";"0.448275862068966";"0.735849056603774";"0.924528301886792";"0.557142857142857";"0.557142857142857"
"bagFDA           ";"0.409638554216867";"0.641509433962264";"0.899736147757256";"0.5              ";"0.5              "
"rf               ";"0.404255319148936";"0.716981132075472";"0.915966386554622";"0.517006802721088";"0.517006802721088"
"C5.0             ";"0.405405405405405";"0.707547169811321";"0.913888888888889";"0.515463917525773";"0.515463917525773"
