"model";"recall";"precision";"specificity";"F1";"F2"
"glm               ";"0.119402985074627 ";"0.666666666666667 ";"0.945945945945946 ";"0.20253164556962  ";"0.20253164556962  "
"nnet              ";"0.0909090909090909";"0.333333333333333 ";"0.917525773195876 ";"0.142857142857143 ";"0.142857142857143 "
"treebag           ";"0.219512195121951 ";"0.75              ";"0.97              ";"0.339622641509434 ";"0.339622641509434 "
"bagFDAGCV         ";"0.161290322580645 ";"0.416666666666667 ";"0.936363636363636 ";"0.232558139534884 ";"0.232558139534884 "
"bagFDA            ";"0.228571428571429 ";"0.666666666666667 ";"0.962264150943396 ";"0.340425531914894 ";"0.340425531914894 "
"rf                ";"0.259259259259259 ";"0.583333333333333 ";"0.956140350877193 ";"0.358974358974359 ";"0.358974358974359 "
"C5.0              ";"0.0857142857142857";"0.25              ";"0.915094339622642 ";"0.127659574468085 ";"0.127659574468085 "
