"model";"recall";"precision";"specificity";"F1";"F2"
"glm              ";"0.367088607594937";"0.537037037037037";"0.798387096774194";"0.43609022556391 ";"0.43609022556391 "
"nnet             ";"0.268292682926829";"0.407407407407407";"0.735537190082645";"0.323529411764706";"0.323529411764706"
"treebag          ";"0.397260273972603";"0.537037037037037";"0.807692307692308";"0.456692913385827";"0.456692913385827"
"bagFDAGCV        ";"0.363636363636364";"0.444444444444444";"0.781021897810219";"0.4              ";"0.4              "
"bagFDA           ";"0.325301204819277";"0.5              ";"0.775            ";"0.394160583941606";"0.394160583941606"
"rf               ";"0.385714285714286";"0.5              ";"0.796992481203007";"0.435483870967742";"0.435483870967742"
"C5.0             ";"0.381578947368421";"0.537037037037037";"0.803149606299213";"0.446153846153846";"0.446153846153846"
