"model";"recall";"precision";"specificity";"F1";"F2"
"glm               ";"0.0846560846560847";"0.761904761904762 ";"0.977168949771689 ";"0.152380952380952 ";"0.152380952380952 "
"nnet              ";"0.075             ";"0.428571428571429 ";"0.958333333333333 ";"0.127659574468085 ";"0.127659574468085 "
"treebag           ";"0.104             ";"0.619047619047619 ";"0.971731448763251 ";"0.178082191780822 ";"0.178082191780822 "
"bagFDAGCV         ";"0.0957446808510638";"0.428571428571429 ";"0.961783439490446 ";"0.156521739130435 ";"0.156521739130435 "
"bagFDA            ";"0.0757575757575758";"0.476190476190476 ";"0.960144927536232 ";"0.130718954248366 ";"0.130718954248366 "
"rf                ";"0.121951219512195 ";"0.714285714285714 ";"0.978947368421053 ";"0.208333333333333 ";"0.208333333333333 "
"C5.0              ";"0.0673076923076923";"0.333333333333333 ";"0.953947368421053 ";"0.112             ";"0.112             "
